GameID,GameName
1,Baldur's Gate 3 Early Access Review
2,Control: Ultimate Edition Cloud Version Review
3,Doom Eternal: The Ancient Gods Part 1 Review
4,Watch Dogs: Legion Review
5,Ring Of Pain Review
6,Pikmin 3 Deluxe Review
7,Ghostrunner Review
8,Disc Room Review – Getting Buzzed
9,NHL 21 Review
10,Noita Review
11,Amnesia: Rebirth Review
12,Genshin Impact Review – Direct Hit
13,Ikenfell Review
14,Ring Fit Adventure Review: One Year Later
15,Star Wars: Squadrons Review – Catch Me If You Can
16,Mario Kart Live: Home Circuit Review – Making Tracks
17,I Am Dead Review – Staying Alive
18,FIFA 21 Review – A Goal Bonanza
19,Super Mario Bros. 35 Review – Mario Royale
20,The Solitaire Conspiracy Review – Jack Of All Trades
21,Crash Bandicoot 4 Review – Platformer's Delight
22,Kirby Fighters 2 Review – 2 Kirby 2 Furious
23,Pendragon Review – Endless Legends
24,Serious Sam 4 Review – The Fourth Encounter
25,NBA 2K21 Review – Ball Another Day
26,Crusader Kings 3 Review – Pass the Duchy
27,Spelunky 2 Review –  Snakes On A 2D Plane
28,Mafia: Definitive Edition Review – An Offer You Could Probably Refuse
29,Surgeon Simulator 2 Review – Surgical Imprecision
30,"Hades Review – The Long, Hard Road Out of Hell"
31,"13 Sentinels: Aegis Rim Review – Wow, Cool Robot!"
32,Super Mario 3D All-Stars Review – Shoot For The Stars
33,Road To Guangdong Review – Are We There Yet?
34,Vampire: The Masquerade - Shadows Of New York Review
35,"Othercide Review – Mother, May I"
36,Marvel's Avengers Review – Infinity War
37,Tell Me Why Review
38,Moon Review – The Bright Side
39,Star Renegades Review – The Heat Of The Moment
40,The Last Campfire Review – One Step At A Time
41,Tony Hawk's Pro Skater 1 + 2 Review – I'm A Superman
42,Paradise Killer Review
43,Evergate Review – Ever Great
44,Madden 21 Review – Feels More Like An Update
45,A Short Hike Review
46,Project Cars 3 Review – Into The Horizon
47,Control AWE DLC Review – Haunted Oldest House
48,Windbound Review – Against The Wind
49,Thousand Threads Review -- Post Secrets
50,Spiritfarer Review – Purrrgatory
51,No Straight Roads Review – Bangers And Smash
52,Microsoft Flight Simulator Review – Max Altitude
53,Next Stop Nowhere Review – Bugs On The Windshield
54,PGA Tour 2K21 Review – For Purists And Newcomers Alike
55,Dead By Daylight Review (2020) – Toying With Terror
56,Mortal Shell Review – Stone Souls
57,Skater XL Review – Too Little To Skate
58,Battletoads Review – Middle-Aged Cartoon Alien Toads
59,Hyper Scape Review – 'Scape From The City
60,A Total War Saga: Troy Review - My Kingdom For A Centaur
61,Risk Of Rain 2 Review
62,Fall Guys: Ultimate Knockout Review - Major Chaos
63,Skully Review
64,Umurangi Generation Review - Cyberpunk Snap
65,Littlewood Review - Big Heart
66,Horizon Zero Dawn Review
67,Grounded Early Access Review - Little Acorns
68,Desperados 3 Review - Revolvers And Redos
69,Rock Of Ages 3: Make & Break Review - Let's Roll
70,Beyond A Steel Sky Review - Foster The Future
71,Panzer Paladin Review
72,Maid Of Sker Review - Backtracking Trip
73,"Destroy All Humans Review - Two Arms, Two Legs, And An Attitude"
74,Carrion Review
75,Necrobarista Review
76,Ooblets Early Access Review
77,Fight Crab Review - Battle Of The Bisque
78,Rocket Arena Review
79,Superliminal Review - We Need To Go Deeper
80,Paper Mario: The Origami King Review
81,Bloodstained: Curse Of The Moon 2 Review
82,Ghost Of Tsushima Review - You Khan Do It
83,Story Of Seasons: Friends Of Mineral Town Review - When The Seasons Change
84,Superhot: Mind Control Delete Review - Hack 'N Slash
85,Death Stranding Review
86,CrossCode Review - A Lot Of Ambition
87,Deadly Premonition 2: A Blessing In Disguise Review
88,Marvel's Iron Man VR Review - Hot Hands
89,Ninjala Review - Gum Up The Works
90,Mr. Driller Drill Land Review
91,West Of Dead Review - Rogue-lite Cowboy
92,Pokemon Sword And Shield Isle Of Armor DLC Review
93,Slay The Spire Review - Trend Setter
94,Death Come True Review - Hotel Hell
95,Crucible Review
96,The Last Of Us Part 2 Spoiler Review - Dog Eat Dog
97,The Last Of Us Part 2 Spoiler-Free Review
98,SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated Review - Expired Nostalgia
99,Valorant Review - A Valiant Effort
100,Skelattack Review - Bone-Dry
101,Project Warlock Review - Wizard's First Doom
102,Disintegration Review - First-Person Strategy
103,XCOM 2 Collection For Nintendo Switch Review - Close Encounters of the Bugged Kind
104,The Outer Worlds For Nintendo Switch Review - Cosmic Haze
105,Liberated Review
106,Resolutiion Review - Do The Right Thing
107,Those Who Remain Review - Little Staying Power
108,Sea Of Thieves Review (2020) - A Voyage Finally Worth Taking
109,Xenoblade Chronicles: Definitive Edition Review
110,"Minecraft Dungeons Review - Mobsters, Inc."
111,"Maneater Review - Fish Are Food, Not Friends"
112,Mortal Kombat 11: Aftermath Review - Friendship Never Ends
113,If Found Review - Call Me By My Name
114,What The Golf Switch Review - A Swing And A Hit
115,What The Golf Review
116,The Wonderful 101 Remastered Review - Mob Mentality
117,The Wonderful 101 Review
118,Hatsune Miku: Project DIVA MegaMix Review - One More Time
119,Rainbow Six Siege Review (2020) - Breaches And Cream
120,Legends Of Runeterra Review - Much Ado About Nautilus
121,Predator: Hunting Grounds Review - Muddied Up
122,Sakura Wars Review
123,XCOM: Chimera Squad Review
124,Cloudpunk Review - Time To Fly
125,Streets Of Rage 4 Review - The Beat-'Em-Up Boys Are Back In Town
126,Rainbow Six Siege Review (2015)
127,"Gears Tactics Review - Plan The Work, Work The Plan"
128,Fallout 76: Wastelanders Review - A Disappointing Return
129,Trials Of Mana Review - Trial And Error
130,Treachery In Beatdown City Review
131,In Other Waters Review
132,Bleeding Edge Review - Underwatch
133,Final Fantasy 7 Remake Review - First Class
134,Animal Crossing: New Horizons Review - Island Getaway
135,Persona 5 Royal Review - Hearts Of Gold
136,"Resident Evil 3 Remake Review - Farewell, Raccoon City"
137,Good Job Review - Office Space
138,Corruption 2029 Review
139,MLB The Show 20 Review
140,Call Of Duty Warzone Review
141,Half-Life: Alyx Review - Catch These Hands
142,Doom Eternal Review - Intelligent Inferno
143,Nioh 2 Review
144,Ori And The Will Of The Wisps Review
145,Mindseize Review - Familiar Territory
146,Dota Underlords Review
147,Pokemon Mystery Dungeon: Rescue Team DX Review
148,Wolcen: Lords Of Mayhem Review
149,Bloodroots Review
150,Snack World Review
151,Dreams Review
152,Granblue Fantasy Versus Review - Fighting Fantasy
153,The Pedestrian Review - Walk Before You Run
154,Through The Darkest Of Times Review - Enemy Inside The Gates
155,Kunai Review - Throwing Knives
156,Kentucky Route Zero Review - Where The Streets Have No Name
157,Kingdom Hearts 3 Re:Mind Review - Don't Remind Me
158,Lenna's Inception Review - Press Start
159,Journey To The Savage Planet Review - A Pulpy Sci-Fi Romp
160,Frostpunk: The Last Autumn Review - Calm Before The Storm
161,Dragon Ball Z: Kakarot Review - Mondo Cool
162,Unity Of Command 2 Review - Lifetime Supply
163,Overland Review - Road Trip From Hell
164,Ace Combat 7: Skies Unknown Review - Head In The Clouds
165,The Outer Worlds Review - Over The Moon
166,Draugen Review - Mystery Loves Company
167,Wattam Review - Forever Wondering
168,Supermash Review - Flop Jam
169,The Touryst Review - Life's A Beach
170,Phoenix Point Review - The Life Aquatic
171,Darksiders: Genesis Review - Lucy And The Horsemen
172,Shovel Knight: King Of Cards Review - Royal Refinement
173,Life Is Strange 2: Episode 5 Review - Beyond Good Or Evil
174,Audica Review - Electronic Gun Music
175,Shenmue 3 Review - From A Forgotten Time
176,Blacksad: Under The Skin Review - Dog Days
177,Planet Zoo Review - Spreadsheet Safari
178,Sparklite Review - Shine A Light
179,Star Wars Jedi: Fallen Order Review - A Good Feeling About This
180,Pokemon Sword & Shield Review - Curry Favor
181,Layton's Mystery Journey: Katrielle And The Millionaire's Conspiracy Review - Merry Old England
182,Need For Speed Heat Review - Getting Warmer
183,Mario & Sonic At The Olympic Games Tokyo 2020 Review - Gotta Go Fast
184,Call Of Duty: Modern Warfare Review - Stay Frosty (Again)
185,Red Dead Redemption 2 Review - Wild Wild West
186,Call Of Duty Mobile Review - Boots On The Go
187,Disco Elysium Review - Pure Dynamite
188,"Afterparty Review - Drink, Die, Repeat"
189,Luigi's Mansion 3 Review - Mario Is Missing
190,WWE 2K20 Review: Botchamania
191,"Super Monkey Ball Banana Blitz HD Review - All Monkey, No Magic"
192,Manifold Garden Review - Stairways To Puzzle Heaven
193,MediEvil Review - Bones 'n Brawn
194,Felix The Reaper Review - Footloose
195,Little Town Hero Review - Brat Country
196,The Witcher 3 Nintendo Switch Review - The Last Wish
197,Killer Queen Black Review - 'Cause I'm Having a Good Time
198,Ghost Recon Breakpoint Review - Faulty Reconaissance
199,John Wick Hex Review - Tick Tock Wick
200,Concrete Genie Review - Rubs Me The Right Way
201,Indivisible Review - Moving Mountains
202,Neo Cab Review - Taxi Cab Confessions
203,Destiny 2 Shadowkeep Review - Moon's Haunted
204,Yooka-Laylee And The Impossible Lair Review - Uninvited Nostalgia
205,Sayonara Wild Hearts Review - Falling Star
206,Code Vein Review - There Will Be Blood
207,Untitled Goose Game Review - Saved By The Bell
208,The Surge 2 Review - Out On A Limb
209,80 Days Review - A Man And His Fogg
210,FIFA 20 Review - Premier League
211,Dragon Quest XI Review - Nintendo Switch Definitive Edition Update
212,Blasphemous Review - Darker Souls
213,Greedfall Review - Lost In Another World
214,NHL 20 Review - Smashed
215,The Legend Of Zelda: Link’s Awakening Review - A Respectable Remake
216,No Man's Sky Beyond Review - Reach For The Stars
217,Children of Morta Review
218,AI: The Somnium Files Review - Eyes Love You
219,"Borderlands 3 Review - Six Sirens, One God-Queen"
220,eFootball PES 2020 Review - A Winning Formula
221,Daemon X Machina Review - Tinker Toys
222,Gears 5 Review - A Beneficial Mutation
223,Divinity: Original Sin 2 Review - Switch Definitive Edition Update
224,Creature In The Well Review - Well-Placed Shot
225,Monster Hunter World: Iceborne Review - A Very Ice Time
226,Knights And Bikes Review - Double Trouble
227,Erica Review - Movie Night
228,Apex Legends Review -- A New Battle Royale Titan
229,The Dark Pictures: Man of Medan Review - Drown And Out
230,Blair Witch (Game) Review - Prying Eyes
231,Catherine: Full Body Review - One Step Closer To The Edge
232,Astral Chain Review - Anime Police Academy
233,Telling Lies Review - Watch Carefully
234,Ancestors: The Humankind Odyssey Review - Devolution Of The Species
235,Control Review - An Action-Packed Paranormal Portal
236,Life Is Strange 2: Episode 4 Review - Gotta Have Faith
237,Remnant: From the Ashes Review - In My Sights
238,Wolfenstein: Youngblood Review - Family Matters
239,Kill La Kill The Game: IF Review - Don't Lose Your Way
240,Etherborn Review
241,Warframe Review (2019) - Space Oddity
242,Marvel Ultimate Alliance 3: The Black Order Review - Superpowered
243,Night Call Review - The Full Fare
244,Final Fantasy XIV: Shadowbringers Review - Dancer In The Dark
245,Dragon Quest Builders 2 Review - Building On A Strong Foundation
246,SolSeraph Review - Play God
247,198X Review
248,Weedcraft Inc Review - I Got 5 On It
249,They Are Billions Review - Everyone's Invited
250,Sea Of Solitude Review - Adrift
251,Super Mario Maker 2 Review - Make My Day
252,Bloodstained: Ritual Of The Night Nintendo Switch Review - Less Lively
253,Bloodstained: Ritual Of The Night Review - Not Dead Yet
254,Samurai Shodown Review - Life Or Death
255,F1 2019 Review - Pole Position
256,Judgment Review - Like A Tiger
257,The Sinking City Review - Draining
258,Imperator: Rome Review
259,Mordhau Review - Medieval Times
260,Cadence Of Hyrule Review - Groove is in the Heart
261,My Friend Pedro Review - Vote For Pedro
262,Crash Team Racing Nitro-Fueled Review - Back With A Bang
263,Outer Wilds Review - Extraterrestrial Investigation
264,Octopath Traveler Review: Divide And Conquer
265,Persona Q2 Review - You Oughta Be In Pictures
266,Observation Review - Space Madness
267,Dauntless Review - Whole New World
268,Void Bastards Review - Genres Collide
269,Trover Saves The Universe Review - Couch Potatoes
270,Blood and Truth Review - On The Move
271,Pathologic 2 Review - The Big Sick
272,Anno 1800 Review - The Prettiest Spreadsheet
273,Mortal Kombat 11 Review - The Right Fight
274,Total War: Three Kingdoms Review - The New Romantics
275,Travis Strikes Again: No More Heroes Review - Short On Heroics
276,A Plague Tale: Innocence Review - Of Rats And Children
277,Layers of Fear 2 Review - Ghost Ship
278,Everybody's Golf VR Review - A Short Date To The Golf Course
279,Team Sonic Racing Review - Gotta Go-Kart Fast
280,Metro Exodus Review - Brand New Days
281,Whispers of a Machine Review - Hushed Greatness
282,"Darkwood Review - Welcome To The Forest, Meat"
283,Rage 2 Review - Wasted Land
284,Life Is Strange 2: Episode 3 Review - Choosing Sides
285,World War Z Review - Zombie Zeitgeist
286,Giga Wrecker Alt Review - Hunk Of Junk
287,Yakuza Kiwami 2 Review - Like A Tiger
288,"Days Gone Review - Farewell, Oregon"
289,BoxBoy! + BoxGirl! Review - Hip To Be Square
290,SteamWorld Quest Review - Letting Off Some Steam
291,Katana Zero Review - Slow-Motion For Me
292,Cuphead Review - Rise To The Challenge
293,Falcon Age Review - High Flying
294,Pathway Review - Pulp Friction
295,Heaven's Vault Review - Come Sail Away
296,My Time At Portia Review - Crop Circles
297,Hellblade: Senua's Sacrifice Review - The Power Of Empathy
298,Zanki Zero: Last Beginning Review - Attack Of The Clones
299,MLB The Show 19 Review - Bases Loaded
300,Tropico 6 Review - World Stage
301,The Division 2 Review - National Treasure
302,The World Next Door Review - Anime Angst
303,"Operencia: The Stolen Sun Review - A Journey Far, Far Away"
304,Sekiro: Shadows Die Twice Review - Steel Yourself
305,The Walking Dead: The Final Season Episode 4 Review
306,Yoshi's Crafted World Review - Imagination
307,Hypnospace Outlaw Review - Weird World Web
308,Baba is You Review - Game-Changer
309,Ethereal Review - Stay In Your Lane
310,Left Alive Review - No Will To Survive
311,Objects In Space Review - Adrift
312,Devil May Cry 5 Review - From Zero To Nero
313,ToeJam & Earl: Back In The Groove Review - The Funk-Soul Brothers
314,Assault Android Cactus+ Review - Robots Rock
315,Ape Out Review - Guerrilla Gorilla
316,Kirby's Extra Epic Yarn Review - All Stitched Up
317,Dead Or Alive 6 Review - Combat Ready
318,The Occupation Review - On The Clock
319,Far Cry: New Dawn Review - Duct Tape Apocalypse
320,Civilization 6: Gathering Storm Review - Weather The Storm
321,Eastshade Review - A Brush With Nature
322,Trials Rising Review - It's A Gas
323,Devotion Review - House Of Horrors
324,Anthem Review - Two Halves
325,Tetris 99 Review - Embrace The Chaos
326,Crackdown 3 Review - Man Of Steel
327,Jump Force Review - Shonen Through And Through
328,Yo-kai Watch 3 Review - Tokyo To Texas
329,Yakuza Kiwami Review - Back In Action
330,God Eater 3 Review - Aragami Hunter
331,Astroneer Review - New Frontiers
332,Dragon Marked for Death Review - Dates With Death
333,Sunless Skies Review - British Steam Power
334,Wargroove Review - The Doggos Of War
335,Etrian Odyssey Nexus Review - Where All Paths Cross
336,Jon Shafer's At The Gates Review - Fertile Soil
337,The Hong Kong Massacre Review - I Know Gun-Fu
338,Downwell Review - Polished Boots
339,Mage's Initiation: Reign Of The Elements Review - VGA Heyday
340,"Kingdom Hearts 3 Review - Clear Eyes, Full Hearts"
341,Pikuniku Review - Delicious Morsel
342,Genesis Alpha One Review - Drifting Without Direction
343,Resident Evil 2 Review - RE-vived Nightmares
344,Life Is Strange 2: Episode 2 Review - With Great Power
345,Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey Review
346,The Walking Dead: The Final Season Episode 3 Review
347,YIIK: A Postmodern RPG Review - A Bit More Hipster
348,Double Cross Review - Combat Woes
349,Vane Review - In Vain
350,The Eternal Castle Remastered Review - Vivid Flashbacks
351,"New Super Mario Bros. U Deluxe Review - It's-A-Me, Again!"
352,Below Review - Deep Down
353,"Bury Me, My Love Review - Trials And Tribulations"
354,Battle Princess Madelyn Review - Halfway There
355,Super Smash Bros. Ultimate Review - Me And You And Everyone We Know
356,Gris Review - Seeing In Color
357,Monster Boy And The Cursed Kingdom Review - Fit For A King
358,Thronebreaker: The Witcher Tales Review - Queen Of Hearts
359,Desert Child Review - Burning Fuel
360,Earth Defense Force 5 Review - Another Bug Hunt
361,Ashen Review - Relationship Souls
362,Artifact Review - Play Your Cards Right
363,Just Cause 4 Review - Mildly Wild Ride
364,Big Bash Boom Review: Stiff Wickets
365,Cosmic Top Secret Review - Declassified
366,Darksiders 3 Review - Soils-Like
367,Persona 5: Dancing In Starlight Review - The Shujin Shuffle
368,Persona 3: Dancing In Moonlight Review - A Spotlight In The Dark Hour
369,Beat Saber Review - Bass-Boosted
370,Nidhogg 2 Review - En Garde
371,Hitman 2 Review - A Boy And His Briefcase
372,Fallout 76 Review - No Humans Allowed
373,Underworld Ascendant Review: Going Under
374,Taiko no Tatsujin: Drum 'n' Fun / Drum Session Review - Rhythm Party
375,Battlefield 5 Review - Breaking Through The Front Lines
376,Pokemon Let's Go Pikachu And Let's Go Eevee Review
377,Overkill's The Walking Dead Review - DOA
378,Spyro Reignited Trilogy Review - Fan The Flames
